Transaction ID,Date Initiated,Date Posted,Transaction Type,Payment Method,Recipient ID,Amount,HIT ID,Assignment ID
3RFP0DLIITVJE30PAPCG480UBZO0G2,2020-12-31 06:27:14 -0800,2020-12-31 12:47:26 -0800,AssignmentPayment,,A1WH32GYQOHIRQ,-3.000,3MD8CKRQZZOL382VI2JO596TEBEJRT,31HQ4X3T3SB5LWO2QE080HK9M2USLM
3SNCI1ZAPOXEWXV0QWSS3K8E6D5W14,2020-12-31 06:27:14 -0800,2020-12-31 11:58:00 -0800,FeePayment,,Mechanical Turk,-0.600,3MD8CKRQZZOL382VI2JO596TEBEJRT,31HQ4X3T3SB5LWO2QE080HK9M2USLM
3AZSUWPETMSDIN91QE0NHNZIQ7XA61,2020-12-31 06:32:14 -0800,2020-12-31 12:39:04 -0800,AssignmentPayment,,A3K9GTQBOI7O5A,-3.000,3SA4EMRVJV3TPPLUJ25TI9RIEKL0PC,3WQ3B2KGE8HTE33WMIWUQD1VK83B1Y
3TKLX9SQRZMKDYFA7EK39LIACGF5SH,2020-12-31 06:32:14 -0800,2020-12-31 11:58:00 -0800,FeePayment,,Mechanical Turk,-0.600,3SA4EMRVJV3TPPLUJ25TI9RIEKL0PC,3WQ3B2KGE8HTE33WMIWUQD1VK83B1Y
3PVIZTMM9O8Q44E2VVDLE3BW9M7NT9,2020-12-31 06:37:14 -0800,2020-12-31 14:25:41 -0800,AssignmentPayment,,A8028AFBBS29G,-3.000,38DCH97KHH3LR7NV5NUO0JWOIPCJQS,3SB5N7Y3O35PYVQP6LK8DJ9IVTPG0H
35ITFVKXYKRJGSP9QWOY3WI05RGJFY,2020-12-31 06:37:14 -0800,2020-12-31 11:58:00 -0800,FeePayment,,Mechanical Turk,-0.600,38DCH97KHH3LR7NV5NUO0JWOIPCJQS,3SB5N7Y3O35PYVQP6LK8DJ9IVTPG0H
3KWMNSABZ5HVU9MMF6J3ON0EFPDOQB,2020-12-31 06:48:14 -0800,2020-12-31 12:35:13 -0800,AssignmentPayment,,A8C3WNWRBWUXO,-3.000,3MD8CKRQZZOL382VI2JO596TEBEJRT,39JEC7537U2SAKB07WCE8LETRXAVCE
3KZUOHBGA8KOEVJB3F2ELLRS5IOKBG,2020-12-31 06:48:14 -0800,2020-12-31 11:58:00 -0800,FeePayment,,Mechanical Turk,-0.600,3MD8CKRQZZOL382VI2JO596TEBEJRT,39JEC7537U2SAKB07WCE8LETRXAVCE
3VS4TSR01R776GHNY8PO9H9W2LG0OQ,2020-12-31 06:50:14 -0800,2020-12-31 11:54:53 -0800,AssignmentPayment,,AFM65NU0UXIGP,-3.000,38DCH97KHH3LR7NV5NUO0JWOIPCJQS,3R9WASFE2ZHGMG0KZVRI1XCSCL8FZ9
3LU6COC0WDFAQL80MFLLEL1HA7CWAT,2020-12-31 06:50:14 -0800,2020-12-31 11:58:00 -0800,FeePayment,,Mechanical Turk,-0.600,38DCH97KHH3LR7NV5NUO0JWOIPCJQS,3R9WASFE2ZHGMG0KZVRI1XCSCL8FZ9
3Q6E4EXFC07F36NY1KEVIVW7CS0OX8,2020-12-31 06:52:14 -0800,2020-12-31 11:42:19 -0800,AssignmentPayment,,A1IFIK8J49WBER,-3.000,3MD8CKRQZZOL382VI2JO596TEBEJRT,3Y4W8Q93LZL2FCHE7S7PSRWBCXMVDE
32OZRCFTP1ZUWEHNR7FVJ9A5DNXKJ1,2020-12-31 06:52:14 -0800,2020-12-31 11:58:00 -0800,FeePayment,,Mechanical Turk,-0.600,3MD8CKRQZZOL382VI2JO596TEBEJRT,3Y4W8Q93LZL2FCHE7S7PSRWBCXMVDE
3TRQELNFBMG9Y0V4N6C4K7ASUGC5RQ,2020-12-31 07:07:14 -0800,2020-12-31 13:27:46 -0800,AssignmentPayment,,A248QG4DPULP46,-3.000,38DCH97KHH3LR7NV5NUO0JWOIPCJQS,31LM9EDVOLT2AT8XFX79L8XBVEHNJ3
3D2NGX59F5SWV2BV1FOD2TZ6R2AI1M,2020-12-31 07:07:14 -0800,2020-12-31 11:58:00 -0800,FeePayment,,Mechanical Turk,-0.600,38DCH97KHH3LR7NV5NUO0JWOIPCJQS,31LM9EDVOLT2AT8XFX79L8XBVEHNJ3
3YEJ4BKAUR93ZCQACXTPKGI1VEHZCL,2020-12-31 07:33:15 -0800,2020-12-31 13:34:17 -0800,AssignmentPayment,,AY1NVR3M3GYCI,-3.000,3SA4EMRVJV3TPPLUJ25TI9RIEKL0PC,3R5F3LQFV2LASTDDYYA8ORL64M3ZOJ
3TPE4SSULVB9UURO2PYYG5RIQCCUXY,2020-12-31 07:33:15 -0800,2020-12-31 11:58:00 -0800,FeePayment,,Mechanical Turk,-0.600,3SA4EMRVJV3TPPLUJ25TI9RIEKL0PC,3R5F3LQFV2LASTDDYYA8ORL64M3ZOJ
3VS4TSR01R776GHNY8PO9H9W2LIO0G,2020-12-31 08:08:15 -0800,2020-12-31 13:10:30 -0800,AssignmentPayment,,A3NS1DN6J7Z3EU,-3.000,3SA4EMRVJV3TPPLUJ25TI9RIEKL0PC,39LNWE0K4UXJA880UGYVN2A5QVPUIU
3QHEOAZ7LS5PM2HQCJSBYM292SVJM8,2020-12-31 08:08:15 -0800,2020-12-31 11:58:00 -0800,FeePayment,,Mechanical Turk,-0.600,3SA4EMRVJV3TPPLUJ25TI9RIEKL0PC,39LNWE0K4UXJA880UGYVN2A5QVPUIU
