group,response,lc1_A,lc1_S,lc1_Y,lc1_M,lc1_N,lc2_Y,lc2_M,lc2_N,lc3_Y,lc3_M,lc3_N,lc4_Y,lc4_M,lc4_N,lc5_Y,lc5_M,lc5_N,lc6_Y,lc6_M,lc6_N,lc7_Y,lc7_M,lc7_N,lc8_Y,lc8_M,lc8_N,lc9_Y,lc9_M,lc9_N,lc10_Y,lc10_M,lc10_N
O,Y,0,0,1.151068499,0,0,0,0,0,0,-1.686415451,0,0.249400672,-1.41386387,-0.613170501,0,-0.183436269,0,0.101858815,0,-1.502817657,0,0,0,0,0,0,0,0,-0.072458656,0,0,0
O,M,0,0,0,0.892062703,0,0.489623081,0.158152498,0,0.199187238,0,0,0,0,0,0.511794618,0.129227206,0,0,0.838477001,0.030237213,0,0.438151255,0.875320921,0,0,0,0,0,0,0,0,0
O,N,0,0,-0.090511716,-0.010294557,0.139470258,-1.877213769,-0.557779884,1.340473769,0,0,1.244650296,-0.510740713,0,0.299664767,-0.809269373,0,1.524861244,0,0,0,0,0,0,0,0,2.452087346,0,0,1.118280134,0,0,0
A,Y,0,0,0,0,0,0,-0.2068857,-1.109008409,0.079316085,0,-2.016169997,0,-0.070023624,-1.129726906,1.645494125,0,0,0,0,0,0,0,-1.078062883,0,0,0,-0.371517864,0,0,0,0,0
A,M,0,0,0,0,0,0,0.525273692,0,0,0.807380736,0,0.353745202,0.39633139,0,0,0,0,0,0,0,0,0.337610738,0,0,0,-0.457182372,0.673724471,0,0,0,0,0
A,N,-1.304856064,0,0,0,0,0,0,0.227049204,-1.207381314,-0.521193123,0.632729444,-1.355081887,0,0.301457933,0,0,1.444757894,0,0,0,-1.199940442,0,0,0,0,1.195751354,0,0,0,0,0,0.452210931
S,Y,0,1.637666908,0,0,0,0,-0.061479828,0,0,0,0,0,-2.235052095,0,1.174444993,0,-0.42608826,0.647944108,0,-0.864218085,0.747595447,0,0,0,0,0,0,0,0,0,0,0
S,M,0,0,0,0,0,0,0.103557937,0,0.989337881,0,0,0,0,0,0,0.505052121,0,0,1.452270685,0,0,0,0,0,0,0,0,0,0,0,0,0
S,N,0,-0.210453404,0,0,0,0,0,1.720008301,0,0,1.324624285,0,0.442330222,0,0,-0.407698523,0.40129309,0,-0.002223381,0.358823917,0,0,0.919415451,0,0,0,0,0,0,0,0,0
