group, response,l1_A,l1_S,l1_Y,l1_M,l1_N,l2_Y,l2_M,l2_N,l3_Y,l3_M,l3_N,l4_Y,l4_M,l4_N,l5_Y,l5_M,l5_N,l6_Y,l6_M,l6_N,l7_Y,l7_M,l7_N,l8_Y,l8_M,l8_N,l9_Y,l9_M,l9_N,l10_Y,l10_M,l10_N,lc1_A,lc1_S,lc1_Y,lc1_M,lc1_N,lc2_Y,lc2_M,lc2_N,lc3_Y,lc3_M,lc3_N,lc4_Y,lc4_M,lc4_N,lc5_Y,lc5_M,lc5_N,lc6_Y,lc6_M,lc6_N,lc7_Y,lc7_M,lc7_N,lc8_Y,lc8_M,lc8_N,lc9_Y,lc9_M,lc9_N,lc10_Y,lc10_M,lc10_N
O,Y,0.0,0.0,0.0,0.0,-0.9529345902241133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07818456385498716,0.0,0.0,0.0,0.0,-0.030996314748983254,0.5565616775404126,0.0,0.0,0.0,0.0,0.0,0.0,0.8212094021460034,0.0,0.0,0.0,0.0,-0.6057656449993452,0.0,-1.8334660248336252,0.0,0.0,-0.46924892660623607,-0.18341323712096944,0.0,0.0,0.0,0.0,0.0,-1.4985792687252675,0.0,-0.26065240894899555,-0.10739478424655773,0.0,0.0,-0.4029466668959325,0.0,-0.10611018541742427,0.0,0.0,0.0,0.0
O,M,0.0,0.0,-0.30638777087882285,0.0,0.0,1.776657694534801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296611426061533,0.0,0.0,0.0,0.0,0.0,0.0,0.0812049153842845,0.0,-0.6526473515699162,0.0,0.0,0.0,0.0,0.0,0.0,1.073998141803652,-0.25833520796869325,0.0,0.6668251217696071,0.0,0.05050849172612539,0.0,0.0,0.0,0.25883827612219135,0.0,0.696094608807497,0.557686179273573,0.0,0.0,0.7831134630705192,0.0,0.0,0.34817848328805456,1.1752962013016603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36961536092445624,-0.04917491067296174,0.0,0.0,0.0,0.0,0.0,0.0,0.5019930601788588,-0.30294869057032503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22921455384359835,0.0,0.0,-1.3666503817542819,-0.6194489697778237,0.6950284934255758,0.0,0.0,1.170877936880723,-0.6404403487760572,0.0,0.5789670930814255,-0.21328667895286008,0.0,1.4889055119478392,0.0,0.0,0.0,0.0,0.0,0.0,-0.05714169875909294,0.0,2.1994751148787777,0.0,0.0,1.583373343564365,0.0,0.0,0.0
A,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6916775123697153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14590487499158752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5412489156950716,-1.1042888321562032,0.0,0.0,-2.1296061839328275,0.0,-0.49324871261348413,-1.4063822113528237,1.1323381924547335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0073459482021268,0.0,0.0,0.0,-0.0984088279120107,0.0,0.0,0.0,0.0,0.0
A,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04370498221690543,0.0,0.0,0.0,0.0,0.0,0.25542160774702366,0.0,-0.2748841520607173,0.0,-0.03382276479529134,0.0,0.0,0.0,-0.7902711390939107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17899626022723045,0.0,0.0,0.5071657997404012,0.0,0.0,0.36386823494767184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4028139218966983,0.0,0.0,0.0,-0.4674393588734152,1.0338155784138725,0.0,0.0,0.0,0.0,0.0
A,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0940510018946303,0.0,0.0,0.0,0.0,0.0,0.0,0.37083068440261485,0.0,0.0,0.0,0.0,0.02302536873047975,0.0,0.0,0.17793924914524226,0.0,0.545865857423053,0.0,0.0,0.13655088875080196,0.0,0.0,-1.2553969098326794,0.0,0.0,0.0,0.0,0.0,0.0,0.07871102277905727,-2.024803954321979,0.0,0.30424323806366865,-1.5281320694026304,0.0,0.0,0.0,0.0,1.6077923259217994,0.0,0.0,0.0,-0.9338848848474136,0.0,0.0,0.0,0.0,0.7823706463891287,0.0,0.0,0.0,0.0,0.0,0.0
S,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016018901008726254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3188019697790955,0.0,0.0,0.0,0.0,0.41113239755676473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6126325533529409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22031470690538257,0.0,-2.2014038448996036,0.0,0.9325102785751048,0.0,-0.10828841718603711,0.49124520604189037,0.0,-0.4019567726824913,0.3963018654353827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11381975620210666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5781804314850795,0.0,-0.39986001022309425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22746083270322798,0.0,0.9638431010870737,0.0,0.0,0.0,0.0,0.0,0.0,0.1978231067840755,0.0,0.0,1.2367690933534954,0.0,0.0,0.0,-0.0009082876818019272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5561120141671214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39555714921922,0.0,0.39837423946817063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10881847157312588,0.0,0.0,0.0,0.0,0.0,1.7964508401553936,0.0,0.0,1.598180368795288,0.0,0.21438243414317565,0.0,0.0,-0.3438712570378776,0.2805967563925166,0.0,-0.28869293819016223,0.38693104370937914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0









