Y_score,M_score,N_score,Y,M,N,NS,Y_count,M_count,N_count,NS_count
0.6166666666666667,,,0.5283018867924528,0.18867924528301888,0.2641509433962264,0.018867924528301886,28,10,14,1
0.825,,,0.23255813953488372,0.46511627906976744,0.3023255813953488,0.0,10,20,13,0
0.6111111111111112,,,0.2647058823529412,0.4117647058823529,0.3235294117647059,0.0,9,14,11,0
0.37896825396825395,,,0.16666666666666666,0.3125,0.4791666666666667,0.041666666666666664,8,15,23,2
1.8333333333333333,,,0.6333333333333333,0.23333333333333334,0.13333333333333333,0.0,19,7,4,0
1.3928571428571428,,,0.47368421052631576,0.10526315789473684,0.3684210526315789,0.05263157894736842,9,2,7,1
0.5833333333333333,,,0.19047619047619047,0.47619047619047616,0.3333333333333333,0.0,4,10,7,0
0.7,,,0.23809523809523808,0.6190476190476191,0.14285714285714285,0.0,5,13,3,0
0.3666666666666667,,,0.2,0.4,0.35,0.05,4,8,7,1
0.5,,,0.3125,0.375,0.3125,0.0,5,6,5,0
1.25,,,0.6,0.2,0.2,0.0,3,1,1,0
1.5,,,0.42857142857142855,0.5714285714285714,0.0,0.0,3,4,0,0
,1.8333333333333333,,0.42857142857142855,0.32653061224489793,0.22448979591836735,0.02040816326530612,21,16,11,1
,0.37896825396825395,,0.5348837209302325,0.18604651162790697,0.2558139534883721,0.023255813953488372,23,8,11,1
,1.3928571428571428,,0.22727272727272727,0.45454545454545453,0.3181818181818182,0.0,10,20,14,0
,0.6166666666666667,,0.28205128205128205,0.20512820512820512,0.48717948717948717,0.02564102564102564,11,8,19,1
,0.6111111111111112,,0.2962962962962963,0.2962962962962963,0.4074074074074074,0.0,8,8,11,0
,0.825,,0.4,0.32,0.24,0.04,10,8,6,1
,1.5,,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.0,6,8,4,0
,1.25,,0.2777777777777778,0.6111111111111112,0.1111111111111111,0.0,5,11,2,0
,0.3666666666666667,,0.1875,0.5,0.3125,0.0,3,8,5,0
,0.5,,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.0,5,5,4,0
,0.5833333333333333,,0.14285714285714285,0.42857142857142855,0.35714285714285715,0.07142857142857142,2,6,5,1
,0.7,,0.3,0.4,0.3,0.0,3,4,3,0
,,0.37896825396825395,0.6,0.225,0.175,0.0,24,9,7,0
,,1.8333333333333333,0.28846153846153844,0.17307692307692307,0.5,0.038461538461538464,15,9,26,2
,,0.6111111111111112,0.3142857142857143,0.4,0.2571428571428571,0.02857142857142857,11,14,9,1
,,0.825,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,8,8,12,0
,,0.6166666666666667,0.41025641025641024,0.358974358974359,0.20512820512820512,0.02564102564102564,16,14,8,1
,,1.3928571428571428,0.2727272727272727,0.42424242424242425,0.30303030303030304,0.0,9,14,10,0
,,0.3666666666666667,0.3333333333333333,0.5,0.16666666666666666,0.0,4,6,2,0
,,0.5,0.25,0.75,0.0,0.0,3,9,0,0
,,1.5,0.08695652173913043,0.43478260869565216,0.43478260869565216,0.043478260869565216,2,10,10,1
,,1.25,0.2631578947368421,0.42105263157894735,0.3157894736842105,0.0,5,8,6,0
,,0.7,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.0,5,3,3,0
,,0.5833333333333333,0.38461538461538464,0.46153846153846156,0.15384615384615385,0.0,5,6,2,0
